,Run,Device,Speed,Browser,Replicate.1,Replicate.2,Replicate.3
1,1,D,1,C,2.95,4.09,2.92
2,2,D,1,F,3.75,3.08,3.25
3,3,D,1,O,2.25,2.15,2.52
4,4,D,2,C,4.46,3.51,3.86
5,5,D,2,F,3.35,3.61,3.52
6,6,D,2,O,3.68,3.38,4.57
7,7,D,3,C,6.7,3.87,3.91
8,8,D,3,F,10.86,5.69,5.82
9,9,D,3,O,5.12,5.41,6.74
19,19,D,4,C,44.03,25.35,24.97
20,20,D,4,F,18.55,16.67,18.98
21,21,D,4,O,23.44,24.07,24.43
10,10,M,1,C,2.45,1.67,1.45
11,11,M,1,F,5.13,4.84,4.78
12,12,M,1,O,1.61,1.75,1.72
13,13,M,2,C,1.8,4.12,2.3
14,14,M,2,F,5.27,5.13,5.16
15,15,M,2,O,3.42,3.63,3.28
16,16,M,3,C,2.99,4.76,2.5
17,17,M,3,F,5.75,4.84,4.73
18,18,M,3,O,5.31,5.52,5.17
22,22,M,4,C,31.93,33.58,34.42
23,23,M,4,F,15.83,17.8,15.63
24,24,M,4,O,26.1,30.45,32.54
